"Site","Tag","Array","Genotype","NurseyGroup","FragID","T0_Method","T0_TLE","T0_NumBranch","T0_SA","T0_V","T0_Vcx","T0_SAcx","T3_Status","T3_TLE","T3_NumBranch","T3_SA","T3_V","T3_Vcx","T3_SAcx","T6_Status","T6_TLE","T6_NumBranch","T6_SA","T6_V","T6_Vcx","T6_SAcx","T9_Status","T9_TLE","T9_NumBranch","T9_SA","T9_V","T9_Vcx","T9_SAcx","T12_Status","T12_TLE","T12_NumBranch","T12_SA","T12_V","T12_Vcx","T12_SAcx","T3_Break","T6_Break","T9_Break","T12_Break","T12_Dead","T12_TOD","SevereBreak","CulumativeBreaks","X","T0_FieldTLE","T6_FieldTLE","T0_Vinter","T3_Vinter","T6_Vinter","T9_Vinter","T12_Vinter"
"Bahia Honda","1","1","7","3","5","hand",14.1,NA,50.36913,13.302765,34.30342,63.05934,"A",17.7,5,NA,NA,NA,NA,"A",12.426,8,40.957,13.015,36.247,64.753,"A",21.832,14,66.272,19.864,75.66,99.015,"A",42.13,17,111.925,26.917,156.296,154.704,0,1,0,0,0,13,"",1,"",14.1,13.5,21.000655,NA,23.232,55.796,129.379
"Bahia Honda","2","1","1","1","7","3D",9.069,NA,35.7,7.92,19.587,44.116,"A",15.864,6,54.296,15.77,53.366,79.623,"A",9.421,5,33.794,9.269,22.777,51.742,"A",16.077,9,51.692,14.069,43.049,74.007,"A",35.148,18,93.595,22.675,108.889,130.152,0,1,0,0,0,13,"",1,"",13,10.6,11.667,37.596,13.508,28.98,86.214
"Bahia Honda","3","1","31","5","4","3D",9.551,NA,44.971,12.16,27.654,53.179,"A",31.04127,12,97.094,28.23,230.154,216.959,"A",40.561,13,144.685,41.599,283.985,240.388,"A",68.405,19,216.191,55.833,583.435,388.261,"A",80.025,23,217.812,53.158,640.662,409.459,0,0,0,0,0,13,"",0,"",9.8,41.2,15.494,201.924,242.386,527.602,587.504
"Bahia Honda","4","1","3","2","5","hand",7.8,NA,30.24504,7.44849,16.29046,37.77492,"A",12.8,6,NA,NA,NA,NA,"A",25.167,10,86.052,30.543,122.45,137.417,"A",34.007,14,125.394,36.544,212.139,195.159,"A",39.69,16,139.55,43.116,261.556,217.501,1,0,0,0,0,13,"",1,"",7.8,20.9,8.84197,NA,91.907,175.595,218.44
"Bahia Honda","5","1","50","9","5","hand",10.5,NA,38.86965,9.957465,24.0103,48.6111,"A",2.27079,1,15.992,4.943,9.024,24.874,"A",2.78,3,19.47,5.3,11.046,34.326,"A",7.426,6,34.204,10.39,24.026,52.118,"A",17.119,10,50.785,11.938,37.615,64.382,1,0,0,0,0,13,"",1,"",10.5,3.7,14.052835,4.081,5.746,13.636,25.677
"Bahia Honda","6","1","13","4","5","hand",6,NA,24.4953,5.77584,11.1439,30.5508,"A",2,1,NA,NA,NA,NA,"A",3.43,2,18.013,5.854,10.497,29.345,"A",6.884,6,29.131,9.105,23.694,48.332,"A",12.679,6,44.406,7.927,43.237,67.133,1,0,0,0,0,13,"",1,"",6,4,5.36806,NA,4.643,14.589,35.31
"Bahia Honda","7","1","36","6","5","3D",6.213,NA,24.055,6.676,13.654,33.048,"A",3.505,2,24.677,NA,8.711,25.728,"A",4.419,3,18.105,4.172,8.852,26.604,"A",5.052,3,21.607,6.487,12.281,32.745,"A",10.151,6,26.495,6.115,18.152,40.201,1,0,0,0,0,13,"",1,"",7.8,5.3,6.978,NA,4.68,5.794,12.037
"Bahia Honda","8","1","44","8","7","hand",9.7,NA,36.31421,9.214065,21.72294,45.40038,"A",15.408,5,59.53,14.361,53.468,82.799,"A",1.535,2,13.484,2.627,4.684,25.36,"A",1.012,1,36.968,3.815,9.982,35.968,"A",4.459,4,24.122,5.097,13.263,39.532,0,1,0,0,0,13,"",1,"",9.7,1.3,12.508875,39.107,2.057,6.167,8.166
"Bahia Honda","9","1","41","7","5","hand",13.8,NA,49.41084,13.02399,33.44566,61.85532,"A",15.346,6,45.625,11.343,40.855,71.6,"A",0.449,1,2.317,0.795,7.875,1.159,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,9,"p",1,"",13.8,0.8,20.42167,29.512,7.08,NA,NA
"Bahia Honda","10","1","62","10","6","3D",13.103,NA,60.266,20.632,40.519,65.428,"A",29.058,14,92.744,23.764,107.564,122.834,"A",41.448,15,134.285,39.787,228.014,201.237,"A",57.539,21,184.056,55.263,364.147,281.491,"A",54.668,19,140.854,35.57,331.092,277.241,0,0,0,0,0,13,"",0,"",12.7,40.4,19.887,83.8,188.227,308.884,295.522
