Site,Tag,Array,Genotype,NurseyGroup,FragID,T0_Method,T0_TLE,T0_NumBranch,T0_SA,T0_V,T0_Vcx,T0_SAcx,T3_Status,T3_TLE,T3_NumBranch,T3_SA,T3_V,T3_Vcx,T3_SAcx,T6_Status,T6_TLE,T6_NumBranch,T6_SA,T6_V,T6_Vcx,T6_SAcx,T9_Status,T9_TLE,T9_NumBranch,T9_SA,T9_V,T9_Vcx,T9_SAcx,T12_Status,T12_TLE,T12_NumBranch,T12_SA,T12_V,T12_Vcx,T12_SAcx,T3_Break,T6_Break,T9_Break,T12_Break,T12_Dead,T12_TOD,SevereBreak,CulumativeBreaks,,T0_FieldTLE,T6_FieldTLE
Bahia Honda,1,1,7,3,5,hand,14.1,,,,,,A,17.7,5,,,,,A,12.426,8,40.957,13.015,36.247,64.753,A,21.832,14,66.272,19.864,75.66,99.015,A,42.13,17,111.925,26.917,156.296,154.704,0,1,0,0,0,13,,1,,14.1,13.5
Bahia Honda,2,1,1,1,7,3D,9.069,,35.7,7.92,19.587,44.116,A,15.864,6,54.296,15.77,53.366,79.623,A,9.421,5,33.794,9.269,22.777,51.742,A,16.077,9,51.692,14.069,43.049,74.007,A,35.148,18,93.595,22.675,108.889,130.152,0,1,0,0,0,13,,1,,13,10.6
Bahia Honda,3,1,31,5,4,3D,9.551,,44.971,12.16,27.654,53.179,A,31.04127,12,97.094,28.23,230.154,216.959,A,40.561,13,144.685,41.599,283.985,240.388,A,68.405,19,216.191,55.833,583.435,388.261,A,80.025,23,217.812,53.158,640.662,409.459,0,0,0,0,0,13,,0,,9.8,41.2
Bahia Honda,4,1,3,2,5,hand,7.8,,,,,,A,12.8,6,,,,,A,25.167,10,86.052,30.543,122.45,137.417,A,34.007,14,125.394,36.544,212.139,195.159,A,39.69,16,139.55,43.116,261.556,217.501,1,0,0,0,0,13,,1,,7.8,20.9
Bahia Honda,5,1,50,9,5,hand,10.5,,,,,,A,2.27079,1,15.992,4.943,9.024,24.874,A,2.78,3,19.47,5.3,11.046,34.326,A,7.426,6,34.204,10.39,24.026,52.118,A,17.119,10,50.785,11.938,37.615,64.382,1,0,0,0,0,13,,1,,10.5,3.7
Bahia Honda,6,1,13,4,5,hand,6,,,,,,A,2,1,,,,,A,3.43,2,18.013,5.854,10.497,29.345,A,6.884,6,29.131,9.105,23.694,48.332,A,12.679,6,44.406,7.927,43.237,67.133,1,0,0,0,0,13,,1,,6,4
Bahia Honda,7,1,36,6,5,3D,6.213,,24.055,6.676,13.654,33.048,A,3.505,2,24.677,,8.711,25.728,A,4.419,3,18.105,4.172,8.852,26.604,A,5.052,3,21.607,6.487,12.281,32.745,A,10.151,6,26.495,6.115,18.152,40.201,1,0,0,0,0,13,,1,,7.8,5.3
Bahia Honda,8,1,44,8,7,hand,9.7,,,,,,A,15.408,5,59.53,14.361,53.468,82.799,A,1.535,2,13.484,2.627,4.684,25.36,A,1.012,1,36.968,3.815,9.982,35.968,A,4.459,4,24.122,5.097,13.263,39.532,0,1,0,0,0,13,,1,,9.7,1.3
Bahia Honda,9,1,41,7,5,hand,13.8,,,,,,A,15.346,6,45.625,11.343,40.855,71.6,A,0.449,1,2.317,0.795,7.875,1.159,D,,,,,,,D,,,,,,,0,1,,,1,9,p,1,,13.8,0.8
Bahia Honda,10,1,62,10,6,3D,13.103,,60.266,20.632,40.519,65.428,A,29.058,14,92.744,23.764,107.564,122.834,A,41.448,15,134.285,39.787,228.014,201.237,A,57.539,21,184.056,55.263,364.147,281.491,A,54.668,19,140.854,35.57,331.092,277.241,0,0,0,0,0,13,,0,,12.7,40.4
Bahia Honda,11,2,7,3,4,3D,9.19,,47.522,13.965,34.601,61.743,A,15.125,5,61.347,18.666,60.684,90.844,A,6.768,2,30.008,8.025,16.225,42.311,A,5.706,2,27.376,8.303,14.585,38.904,A,9.925,3,34.685,10.019,25.235,54.744,0,1,0,0,0,13,,1,,10.8,8.7
Bahia Honda,12,2,31,5,6,3D,3.901,,15.226,2.99,5.073,17.776,A,7.7157,5,27.158,5.447,16.563,37.496,A,1.832,1,12.575,3.51,6.218,20.067,A,4.907,5,20.806,7.137,12.71,31.622,A,10.76,8,36.226,6.736,24.278,45.867,0,1,0,0,0,13,,1,,9.3,2.1
Bahia Honda,13,2,41,7,4,3D,9.313,,32.537,5.676,16.882,43.547,D,0,,,,,,D,1.345,2,6.814,1.74,2.215,12.221,D,,,,,,,D,,,,,,,1,,,,1,3,p,1,,10.8,
Bahia Honda,14,2,3,2,6,3D,8.364,,30.654,4.689,14.225,37.122,A,2.218,1,15.508,3.605,8.057,23.537,D,1.046,1,6.801,1.832,2.559,11.776,D,,,,,,,D,,,,,,,1,,,,1,6,p,1,,7.4,
Bahia Honda,15,2,62,10,5,hand,12.3,,,,,,A,1.387,1,9.859,2.997,3.848,13.993,A,4.557,6,18.256,6.323,9.176,25.091,A,5.511,4,26.125,10.712,18.346,38.868,A,14.83,10,51.76,12.636,44.157,68.862,1,0,0,0,0,13,,1,,12.3,3.9
Bahia Honda,16,2,1,1,4,3D,11.42,,64.259,25.912,47.208,74.968,A,29.289,16,110.475,20.128,112.233,128.061,A,2.561,2,18.48,6.134,9.473,28.95,A,6.052,6,26.8,9.139,17.282,40.327,A,17.264,10,56.62,10.511,45.62,69.322,0,1,0,0,0,13,,1,,12.2,2.8
Bahia Honda,17,2,13,4,6,3D,5.335,,,,,,D,0,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,1,,,,1,3,p,1,,9.2,
Bahia Honda,18,2,44,8,5,hand,9.2,,,,,,A,0.663,1,5.661,1.073,1.853,10.853,A,0.82,1,7.845,1.656,2.683,12.916,A,2.02,3,12.057,4.359,5.497,19.973,A,6.581,5,22.317,5.146,12.223,29.489,1,0,0,0,0,13,,1,,9.2,1.4
Bahia Honda,19,2,36,6,7,3D,7.632,,32.093,7.301,16.228,39.571,A,1.417,1,12.874,4.361,6.42,22.696,A,1.891,2,16.228,4.791,8.552,27.453,A,4.32,4,21.36,9.458,13.553,36.759,A,10.4,7,47.581,13.455,38.533,63.961,1,0,0,0,0,13,,1,,8.5,3.6
Bahia Honda,20,2,50,9,6,hand,8.5,,,,,,A,5.496,2,25.957,6.792,17.427,38.616,A,11.222,7,41.28,10.039,33.708,59.151,A,7.493,3,40.555,11.948,40.637,68.78,A,20.326,12,72.549,13.533,72.054,95.656,1,0,1,0,0,13,,2,,8.5,14.1
Bahia Honda,21,3,44,8,6,hand,9.8,,,,,,A,7.023,3,38.223,8.288,19.39,41.398,A,2.873,2,9.054,1.835,3.087,11.359,D,,,,,,,D,2.428,1,15.001,4.117,6.277,18.159,1,0,,,1,9,b,1,"dead, intact",9.8,6.1
Bahia Honda,22,3,13,4,7,3D,8.696,,24.538,4.669,12.941,35.88,A,1.032,1,5.986,1.41,2.005,9.746,A,0.664,1,2.278,0.324,0.466,3.716,A,0.7,1,1.586,0,0,1.586,A,1.328,2,2.628,0.346,0.574,3.947,1,0,0,0,0,13,b,1,,8.9,1
Bahia Honda,23,3,50,9,4,3D,4.846,,34.977,8.613,16.329,37.771,D,0,,,,,,D,4.977,3,18.915,5.241,9.645,26.195,D,,,,,,,D,2.473,1,9.615,1.929,3.053,12.016,1,0,,,1,3,b,1,,6.1,3.1
Bahia Honda,24,3,31,5,5,3D,9.43,,35.319,8.273,19.06,45.359,D,,,,,,,D,2.075,1,10.088,2.837,4.058,13.553,D,,,,,,,D,2.181,1,10.989,2.496,3.727,13.004,0,1,,,1,3,b,1,,10,2.5
Bahia Honda,25,3,62,10,4,3D,10.781,,54.203,17.047,37.463,66.522,D,,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,0,0,1,,1,3,p,1,,10,8.9
Bahia Honda,26,3,36,6,6,3D,5.376,,22.732,4.944,9.989,28.473,A,0,0,1.255,0,0,1.255,A,0.836,1,4.204,0.762,1.282,8.307,A,0,0,0.332,0,0,0.332,A,0,0,0.232,0,0,0.232,1,0,0,,0,13,,1,,6.1,0.5
Bahia Honda,27,3,3,2,4,hand,8,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,D,2.545,1,12.975,3.708,5.608,17.141,,,,,1,3,b,0,"dead, intact",8,6.2
Bahia Honda,28,3,7,3,6,hand,5.9,,,,,,D,0,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,1,,,,1,3,p,1,,5.9,
Bahia Honda,29,3,1,1,6,hand,11.2,,,,,,A,11.297,5,39.709,12.002,28.233,53.873,D,,,,,,,D,,,,,,,D,,,,,,,0,0,1,,1,6,b,1,"dead, intact",11.2,14.8
Bahia Honda,30,3,41,7,6,3D,9.236,,34.266,7.194,16.66,40.127,D,0,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,1,,,,1,3,p,1,,9.5,
Big Pine,1,1,13,4,10,3D,7.044,,21.768,4.513,9.245,29.525,A,0.602026,1,4.899857,1.128967,1.481958,8.852403,A,0.788,1,6.169,1.313,1.801,10.373,D,,,,,,,D,,,,,,,1,0,,,1,9,p,1,,8.1,1.2
Big Pine,2,1,41,7,9,3D,7.7,,28.266,6.036,12.033,31.219,A,12.307,7,32.771,7.468,22.119,46.126,A,20.394,7,64.215,15.2,66.166,94.739,A,25.869,12,70.642,15.589,86.856,109.328,A,35.335,16,94.993,24.239,139.274,145.905,0,0,0,0,0,13,,0,,8.2,21.5
Big Pine,3,1,62,10,8,3D,9.797,,44.915,12.247,26.239,52.379,A,14.551,5,51.391,13.669,45.555,73.788,A,1.632,1,16.795,4.744,7.681,23.812,A,5.1,1,,,,,A,8.108,6,30.832,7.392,18.638,38.107,0,1,0,0,0,13,,1,,10.5,2.6
Big Pine,4,1,50,9,7,3D,4.706,,21.026,5.195,10.165,28.086,A,9.205,5,33.337,8.643,22.675,48.153,A,12.267,4,51.5,14.027,53.295,83.796,A,19.229,12,64.952,18.842,73.759,100.381,A,34.596,19,102.345,33.463,145.38,151.693,0,0,0,0,0,13,,0,,5.2,13.2
Big Pine,5,1,36,6,10,3D,7.188,,26.784,5.999,12.03,33.184,A,9.49,3,39.19,11.083,34.791,63.058,A,10.487,4,48.982,13.359,51.841,80.364,A,16.037,9,60.69,16.051,67.144,91.524,A,26.377,11,102.815,30.129,145.354,149.532,0,0,0,0,0,13,,0,,8.5,11.4
Big Pine,6,1,44,8,9,hand,5.8,,,,,,A,13.596,8,48.275,18.098,38.486,62.563,A,27.059,10,98.762,25.045,111.78,125.522,A,30.225,12,93.245,28.834,113.766,131.907,A,61.943,20,194.736,65.773,357.011,274.135,0,0,0,0,0,13,,0,,5.8,27.6
Big Pine,7,1,1,1,10,3D,6.131,,22.559,4.656,8.376,26.248,A,11.963,10,35.653,8.483,26.523,49.376,A,18.514,10,57.735,16.253,52.161,76.499,A,28.965,15,70.694,17.992,74.263,94.379,A,49.153,27,145.857,40.048,171.878,160.77,1,0,0,0,0,13,,1,,7.8,21.2
Big Pine,8,1,31,5,9,3D,11.433,,43.285,11.696,28.344,55.532,A,23.735,10,72.487,19.304,97.215,118.816,D,0.519,1,1.66,0.071,0.379,3.95,D,,,,,,,D,,,,,,,0,1,,,1,6,b,1,,4.8,2
Big Pine,9,1,7,3,9,3D,4.726,,19.814,3.473,6.389,21.613,A,6.207,3,28.543,8.261,16.733,38.736,A,14.67,8,54.852,15.315,51.679,78.595,A,21.056,9,68.879,19.429,74.483,96.517,A,29.173,14,120.083,38.28,164.435,161.678,0,0,0,0,0,13,,0,,5.9,17.6
Big Pine,10,1,3,2,9,3D,5.377,,25.846,6.584,12.233,32.539,A,12.274,8,44.321,10.674,42,69.876,A,24.783,13,78.115,20.74,111.26,127.403,A,33.525,15,89.476,18.865,134.995,140.158,A,32.393,15,96.157,23.193,207.655,212.385,0,0,0,0,0,13,,0,,7.2,25.7
Big Pine,11,2,44,8,12,3D,7.612,,20.447,3.569,11.921,31.682,A,1.851,1,17.697,4.369,8.118,25.892,A,3.138,2,24.11,7.219,16.182,41.846,A,5.96,2,27.01,8.748,13.576,37.76,A,15.923,10,68.728,32.728,70.249,90.47,1,0,0,0,0,13,,1,,8.1,3
Big Pine,12,2,31,5,8,3D,6.254,,20.826,4.233,8.511,26.062,A,12.61,7,39.339,8.857,32.642,60.632,A,26.469,10,81.918,21.746,113.208,136.946,A,19.774,10,52.249,8.084,44.541,71.362,A,35.519,13,93.572,22.67,191.258,191.73,0,0,0,0,0,13,,0,partial mortality,7.1,25.1
Big Pine,13,2,50,9,8,3D,7.457,,36.505,10.091,20.389,47.253,A,15.614,9,55.766,9.965,28.477,58.142,A,25.773,9,79.61,21.966,95.912,126.388,A,31.957,14,89.685,17.202,146.104,156.872,A,56.625,22,171.703,43.834,369.102,278.829,0,0,0,0,0,13,,0,,8.7,26.3
Big Pine,14,2,36,6,9,3D,4.698,,19.322,3.56,6.749,22.915,A,5.968,2,35.28,8.68,24.158,50.073,A,15.943,7,68.709,21.774,100.684,124.545,A,20.635,7,87.062,23.986,136.868,147.267,A,32.094,12,134.758,52.281,225.52,197.872,0,0,0,0,0,13,,0,,5.7,13.2
Big Pine,15,2,7,3,8,3D,9.158,,34.737,5.983,16.657,39.966,M,,,,,,,M,,,,,,,M,,,,,,,M,,,,,,,,,,,,,,0,,10.2,
