SURV,BASIN,SEGMENT,ZONE,DATE,TIME,STATION,SITE,LATDEC,LOEC,DEPTH,NOX-S,NOX-B,NO3_S,NO3_B,NO2-S,NO2-B,NH4-S,NH4-B,TN-S,TN-B,DIN-S,DIN-B,TON-S,TON-B,TP-S,TP-B,SRP-S,SRP-B,APA-S,APA-B,CHLA-S,CHLA-B,TOC-S,TOC-B,SiO2-S,SiO2-B,TURB-S,TURB-B,SAL-S,SAL-B,TEMP-S,TEMP-B,DO-S,DO-B,Kd,pH,TN:TP,N:P,DIN:TP,Si:DIN,%SAT-S,%SAT_B,%Io,DSIGT
1,FK,OFF,REEF,3/24/1995,,256,Bahia Honda Offshore,24.585,-81.2341,28,0.1701,0.1851,0.085,0.1201,0.085,0.065,0.8054,0.9855,10.3974,6.6036,0.9755,1.1706,9.4219,5.433,0.1399,0.1374,0.02,0.015,0.0623,0.0329,0.15,,299.25,206.08,,,0.25,0.3,34.8,35.9,24.9,24.7,7,6.7,0.12,,74.33,48.815,6.974,,101.751,97.872,3.828,0.893
2,FK,OFF,REEF,7/28/1995,,256,Bahia Honda Offshore,24.585,-81.2341,16,0.1101,0.1076,0.0725,0.075,0.0375,0.0325,0.3227,0.3577,19.492,19.4263,0.4327,0.4652,19.0593,18.9611,0.1299,0.1099,0.0075,0.0075,0.0234,0.0175,0.21,,212.33,205.2,,,0.53,0.53,36,36.2,29.6,29.6,6.2,6.2,0.07,,150.065,57.743,3.331,,94.745,94.864,30.41,0.148
3,FK,OFF,REEF,12/10/1995,,256,Bahia Honda Offshore,24.585,-81.2341,28.5,0.06,0.2201,0.05,0.1951,0.01,0.025,0.1251,0.2926,11.1453,10.1749,0.1851,0.5127,10.9602,9.6621,0.1499,0.1324,,0.0025,0.06,0.04,0.32,,188.13,171.75,3.14,0.8504,0.32,0.29,,,,,,,0.09,,74.365,,1.235,16.904,,,7.015,
4,FK,OFF,REEF,3/16/1996,,256,Bahia Honda Offshore,24.585,-81.2341,12.5,0.0675,0.3377,0.04,0.3051,0.0275,0.0325,0.4877,0.3977,8.404,9.1444,0.5553,0.7354,7.8488,8.409,0.1549,0.1848,0.0125,0.0275,0.03,0.03,0.19,,134.37,139.62,0.6651,1.4475,0.22,0.4,34.9,34.8,21.9,21.5,7.3,6.8,0.17,,54.265,44.459,3.585,1.194,102.462,94.88,11.349,0.045
5,FK,OFF,REEF,7/10/1996,,256,Bahia Honda Offshore,24.585,-81.2341,36,0.0975,0.3352,,,0.0975,0.085,0.2626,0.2326,15.6339,16.1371,0.3602,0.5678,15.2737,15.5693,0.1649,0.1724,,0.015,0.0733,0.0434,,,144.92,111.64,1.8662,0.5054,0.25,0.35,36.1,36.3,30.7,24,5.5,6,0.14,,94.831,,2.185,5.163,84.744,87.193,0.715,2.672
6,FK,OFF,REEF,12/5/1996,,256,Bahia Honda Offshore,24.585,-81.2341,30.5,0.0625,0.5052,0.015,0.4802,0.0475,0.025,0.2301,0.2801,13.4259,12.8291,0.2926,0.7854,13.1333,12.0438,0.1474,0.1599,,0.0749,,,0.47,,180.93,175.43,0.7261,1.2708,0.1,1.24,36.2,36.3,25.6,24.1,5.6,5.4,0.12,,91.1,,1.986,2.472,82.742,78.563,2.601,0.592
7,FK,OFF,REEF,4/2/1997,10:10,256,Bahia Honda Offshore,24.585,-81.2341,19,0.1926,0.0425,0.1726,,0.02,,0.4277,0.1501,11.7567,11.0091,0.6203,0.1926,11.1364,10.8165,0.1649,0.1674,,,0.04,0.03,0.22,,282.71,276.31,0.6043,1.0883,0.25,0.13,36.4,36.5,25.9,25.8,6.3,6.2,0.17,,71.313,,3.763,0.971,93.486,91.969,4.188,0.111
8,FK,OFF,REEF,6/6/1997,8:21,256,Bahia Honda Offshore,24.585,-81.2341,27.5,0.1976,0.07,0.1451,0.04,0.0525,0.03,0.3852,0.2601,10.1408,9.8347,0.5828,0.3302,9.558,9.5046,0.1848,0.1674,0.0125,0.0125,0.0401,0.0372,0.27,,206.23,210.31,1.3892,0.9128,0.13,0.11,36.7,36.4,28.5,26.7,5.7,5.6,0.09,,54.862,46.662,3.153,2.375,86.751,83.743,7.54,0.462
9,FK,OFF,REEF,8/8/1997,9:40,256,Bahia Honda Offshore,24.585,-81.2341,29.5,0.1526,0.1251,0.1226,0.1,0.03,0.025,0.4027,0.2726,6.9678,6.4049,0.5553,0.3977,6.4125,6.0072,0.1848,0.1798,,0.005,0.0581,0.0407,0.18,,179.26,212.86,1.4294,1.1986,0.25,0.41,36.2,36.1,31.2,28.4,5.7,6.2,0.08,,37.696,,3.004,2.565,88.161,93.928,8.609,1.068
10,FK,OFF,REEF,10/28/1997,,256,Bahia Honda Offshore,24.585,-81.2341,31.5,0.085,0.1,0.06,0.0675,0.025,0.0325,0.1626,0.2301,5.8568,5.5921,0.2476,0.3302,5.6092,5.2619,0.2023,0.2073,0.0025,0.0025,0.0297,0.0298,0.35,,123.46,102.72,0.3511,0.3109,0.2,0.19,36.1,36.1,27.3,27.3,5.8,5.9,0.11,,28.947,99.131,1.224,1.413,87.046,88.547,3.091,0
